FAA Site Number,Loc ID,Airport Name,Associated City,State,Region,ADO,Use,Latitude,Longitude,Airport Ownership,Part 139,NPIAS Service Level,NPIAS Hub Type,Airport Control Tower,Fuel,Other Services,Based Aircraft Total,Total Operations,Runway Identifier,Surface Type,Runway Length, Runway Width
01886.2*A,35CL,59 RANCH,MERCED,CA,AWP,SFO,PR,37-13-54.7930N,120-28-43.6770W,PR,,NON-NPIAS,,N,,,1,0	,05/23	,TRTD-DIRT,2600,35 
01476.1*A,CL25,7R RANCH,CUYAMA,CA,AWP,LAX,PR,34-56-07.9050N,119-27-06.4330W,PR,,NON-NPIAS,,N,,,2,0	,11/29	,TURF,2350,40 
01849.81*A,7CA1,ABRAHAM RANCH,LUCERNE VALLEY,CA,AWP,LAX,PR,34-24-52.9990N,116-37-21.0850W,PR,,NON-NPIAS,,N,,,4,0	,09/27	,DIRT,4000,75 
01216.2*A,52CL,ADELANTO,ADELANTO,CA,AWP,LAX,PR,34-32-14.9750N,117-27-38.1750W,PR,,NON-NPIAS,,N,,,15,0	,E/W	,DIRT,5100,100 
01216.2*A,52CL,ADELANTO,ADELANTO,CA,AWP,LAX,PR,34-32-14.9750N,117-27-38.1750W,PR,,NON-NPIAS,,N,,,15,0	,N/S	,DIRT,3930,100 
01217.*A,A26,ADIN,ADIN,CA,AWP,SFO,PU,41-11-11.4000N,120-57-15.8000W,PU,,NON-NPIAS,,N,,,0,100	,09/27	,ASPH-F,2850,40 
01570.751*A,5CA7,AGRO-WEST,FIVE POINTS,CA,AWP,SFO,PR,36-20-09.8260N,120-14-50.5300W,PR,,NON-NPIAS,,N,,,2,0	,16/34	,ASPH,3000,40 
01218.*A,L54,AGUA CALIENTE SPRINGS,AGUA CALIENTE SPRINGS,CA,AWP,LAX,PU,32-57-20.5000N,116-17-41.0000W,PU,,NON-NPIAS,,N,,,0,4400	,11/29	,ASPH-P,2500,60 
01219.*A,L70,AGUA DULCE,AGUA DULCE,CA,AWP,LAX,PU,34-30-09.2500N,118-18-52.7200W,PR,,NON-NPIAS,,N,100LL,,29,720	,04/22	,ASPH-G,4600,50 
01665.*A,CL84,AHLEM FARMS,HILMAR,CA,AWP,SFO,PR,37-23-17.7720N,120-55-38.7380W,PR,,NON-NPIAS,,N,,,1,0	,08/26	,ASPH,2617,40 
02051.*A,54CN,AKIN,PLACERVILLE,CA,AWP,SFO,PR,38-45-14.6470N,120-53-56.7810W,PR,,NON-NPIAS,,N,,,1,0	,09/27	,DIRT,1800,60 
01379.4*A,65CL,AL DIVINE,CARUTHERS,CA,AWP,SFO,PR,36-30-51.8190N,119-45-50.4950W,PR,,NON-NPIAS,,N,,,3,0	,16/34	,ASPH,2400,100 
01866.4*A,M45,ALPINE COUNTY,MARKLEEVILLE,CA,AWP,SFO,PU,38-44-05.1000N,119-46-01.4000W,PU,,NON-NPIAS,,N,,,0,250	,17/35	,ASPH-F,4443,50 
02461.66*A,3CN7,ALTA MESA AIRPARK,WILTON,CA,AWP,SFO,PR,38-22-45.0000N,121-13-18.0000W,PR,,NON-NPIAS,,N,,,10,0	,16/34	,ASPH-G,2600,40 
01625.2*A,09CL,ALTA SIERRA,GRASS VALLEY,CA,AWP,SFO,PR,39-06-49.6230N,121-03-23.8120W,PR,,NON-NPIAS,,N,,,40,1460	,01/19	,ASPH-F,3000,50 
01234.*A,AAT,ALTURAS MUNI,ALTURAS,CA,AWP,SFO,PU,41-28-58.7000N,120-33-55.4000W,PU,,General Aviation,,N,100LLA,CHTR,10,19750	,03/21	,ASPH-G,3096,60 
01234.*A,AAT,ALTURAS MUNI,ALTURAS,CA,AWP,SFO,PU,41-28-58.7000N,120-33-55.4000W,PU,,General Aviation,,N,100LLA,CHTR,10,19750	,13/31	,ASPH-G,4300,50 
01494.*A,70CL,AMARGOSA,DEATH VALLEY JUNCTION,CA,AWP,LAX,PR,36-17-44.8410N,116-25-33.1490W,PR,,NON-NPIAS,,N,,,1,0	,17/35	,DIRT,1625,50 
01661.01*A,AHC,AMEDEE AAF,HERLONG,CA,AWP,SFO,PR,40-15-57.3052N,120-09-02.2079W,MR,,NON-NPIAS,,N,,,0,0	,08/26	,ASPH,10000,150 
01722.5*A,S51,ANDY MC BETH,KLAMATH GLEN,CA,AWP,SFO,PU,41-30-43.3000N,123-59-44.4000W,PU,,NON-NPIAS,,N,,,0,1200	,11/29	,ASPH-F,2400,50 
01244.8*A,2O3,ANGWIN-PARRETT FIELD,ANGWIN,CA,AWP,SFO,PU,38-34-48.1000N,122-26-07.7000W,PR,,NON-NPIAS,,N,100LL,INSTR  RNTL,42,10000	,16/34	,ASPH-F,3217,50 
02451.01*A,4CL3,ANTELOPE VALLEY RANCH,WILLIAMS,CA,AWP,SFO,PR,39-08-46.5000N,122-21-14.8200W,PR,,NON-NPIAS,,N,,,1,0	,15/33	,TURF,3000,60 
01248.1*A,APV,APPLE VALLEY,APPLE VALLEY,CA,AWP,LAX,PU,34-34-31.2000N,117-11-10.3000W,PU,,General Aviation,,N,100LLA,AVNCS  CHTR  INSTR  RNTL,132,37500	,08/26	,ASPH-G,4099,60 
01248.1*A,APV,APPLE VALLEY,APPLE VALLEY,CA,AWP,LAX,PU,34-34-31.2000N,117-11-10.3000W,PU,,General Aviation,,N,100LLA,AVNCS  CHTR  INSTR  RNTL,132,37500	,18/36	,ASPH-G,6498,150 
01255.1*A,ACV,ARCATA,ARCATA/EUREKA,CA,AWP,SFO,PU,40-58-40.2000N,124-06-30.5000W,PU,I A S 05/1973,Primary,Non-Hub,N,100LLA,CARGO,11,42174	,01/19	,ASPH-G,4501,150 
01255.1*A,ACV,ARCATA,ARCATA/EUREKA,CA,AWP,SFO,PU,40-58-40.2000N,124-06-30.5000W,PU,I A S 05/1973,Primary,Non-Hub,N,100LLA,CARGO,11,42174	,14/32	,ASPH-G,6046,150 
01428.*H,4CL9,ARROWHEAD RGNL MEDICAL CENTER,COLTON,CA,AWP,LAX,PR,34-04-33.0000N,117-20-57.0000W,PR,,NON-NPIAS,,N,,,0,0	,H2	,CONC,104,104 
01273.*A,AUN,AUBURN MUNI,AUBURN,CA,AWP,SFO,PU,38-57-17.3000N,121-04-54.2000W,PU,,General Aviation,,N,100LL80   A,AVNCS  CHTR  INSTR  RNTL  SALES,204,68770	,07/25	,ASPH-G,3700,75 
01280.*A,CA69,AVENAL,AVENAL,CA,AWP,SFO,PR,36-00-14.8410N,120-08-32.4990W,PR,,NON-NPIAS,,N,,,6,0	,12/30	,DIRT-F,2880,100 
02496.12*A,2CA8,B & E RANCH,YUCCA VALLEY,CA,AWP,LAX,PR,34-25-13.9980N,116-36-38.0820W,PR,,NON-NPIAS,,N,,,0,0	,N/S	,DIRT,2600,55 
02496.12*A,2CA8,B & E RANCH,YUCCA VALLEY,CA,AWP,LAX,PR,34-25-13.9980N,116-36-38.0820W,PR,,NON-NPIAS,,N,,,0,0	,NW/SE	,DIRT,2400,55 
01846.5*A,80CA,BACCHI VALLEY INDUSTRIES,LOTUS,CA,AWP,SFO,PR,38-49-02.6430N,120-55-20.7820W,PR,,NON-NPIAS,,N,,,2,0	,NW/SE	,TURF-GRVL,1800,40 
01286.1*A,0O2,BAKER,BAKER,CA,AWP,LAX,PU,35-17-10.6000N,116-04-52.9000W,PU,,NON-NPIAS,,N,,,0,500	,15/33	,ASPH-P,3157,50 
01520.8*A,77CL,BAKER & HALL,DUNLAP,CA,AWP,SFO,PR,36-43-03.8120N,119-08-13.4080W,PR,,NON-NPIAS,,N,,,2,0	,E/W	,DIRT,3400,100 
01289.1*A,L45,BAKERSFIELD MUNI,BAKERSFIELD,CA,AWP,LAX,PU,35-19-29.5000N,118-59-45.7000W,PU,,General Aviation,,N,100LL,CHTR  INSTR  RNTL,89,25000	,16/34	,ASPH-G,4000,75 
01793.5*H,76CA,BALD MOUNTAIN,LONG BARN,CA,AWP,SFO,PR,38-08-39.7070N,120-05-03.6690W,PU,,NON-NPIAS,,N,,,0,0	,H1	,ASPH,300,90 
01297.*A,BNG,BANNING MUNI,BANNING,CA,AWP,LAX,PU,33-55-21.2000N,116-51-03.5000W,PU,,General Aviation,,N,100LL,INSTR,40,4598	,08/26	,ASPH-G,4955,100 
01479.*A,DAG,BARSTOW-DAGGETT,DAGGETT,CA,AWP,LAX,PU,34-51-13.4000N,116-47-12.1000W,PU,,General Aviation,,N,100LLA,,12,36500	,04/22	,ASPH-G,5123,100 
01479.*A,DAG,BARSTOW-DAGGETT,DAGGETT,CA,AWP,LAX,PU,34-51-13.4000N,116-47-12.1000W,PU,,General Aviation,,N,100LLA,,12,36500	,08/26	,ASPH-G,6402,150 
02003.*H,PAI,BARTON,PACOIMA,CA,AWP,LAX,PR,34-15-35.0090N,118-24-48.2950W,PU,,NON-NPIAS,,N,,,0,0	,H1	,CONC,568,410 
01234.13*A,CA06,BATES FIELD,ALTURAS,CA,AWP,SFO,PR,41-25-03.9500N,120-34-09.2200W,PR,,NON-NPIAS,,N,,,1,0	,16/34	,TURF,2200,80 
02379.4*A,61CA,BAUER,TWENTYNINE PALMS,CA,AWP,LAX,PR,34-10-29.0000N,116-04-01.0000W,PR,,NON-NPIAS,,N,,,1,0	,08/26	,DIRT,1300,80 
01873.3*A,BAB,BEALE AFB,MARYSVILLE,CA,AWP,SFO,PR,39-08-09.9639N,121-26-11.7061W,MA,,NON-NPIAS,,Y,,CARGO,0,0	,15/33	,CONC,12001,300 
01303.*A,73CA,BEAR VALLEY,BEAR VALLEY,CA,AWP,SFO,PR,38-27-31.6820N,120-02-23.6710W,PR,,NON-NPIAS,,N,,,0,0	,01/19	,DIRT-TRTD,3200,50 
02303.*A,1CA1,BELRIDGE STRIP,SOUTH BELRIDGE,CA,AWP,LAX,PR,35-28-04.8650N,119-43-19.4650W,PR,,NON-NPIAS,,N,,,0,0	,NW/SE	,ASPH-TRTD,5600,85 
02088.*A,O85,BENTON FIELD,REDDING,CA,AWP,SFO,PU,40-34-25.2000N,122-24-26.4000W,PU,,General Aviation,,N,100LLA,CHTR  INSTR  RNTL  SALES,86,35000	,15/33	,ASPH-G,2420,75 
02017.1*A,UDD,BERMUDA DUNES,PALM SPRINGS,CA,AWP,LAX,PU,33-44-54.3750N,116-16-29.3280W,PR,,NON-NPIAS,,N,100LLA,AMB  CHTR  INSTR  RNTL  SALES,106,27020	,10/28	,ASPH-G,5002,70 
01584.7*A,BYS,BICYCLE LAKE AAF,FORT IRWIN/BARSTOW,CA,AWP,LAX,PR,35-16-49.9090N,116-37-48.1060W,MR,,NON-NPIAS,,N,A+,,0,0	,04/22	,GRAVEL,9500,175 
01584.7*A,BYS,BICYCLE LAKE AAF,FORT IRWIN/BARSTOW,CA,AWP,LAX,PR,35-16-49.9090N,116-37-48.1060W,MR,,NON-NPIAS,,N,A+,,0,0	,13/31	,GRAVEL,5800,175 
01323.*A,L35,BIG BEAR CITY,BIG BEAR CITY,CA,AWP,LAX,PU,34-15-49.6000N,116-51-21.7000W,PU,,General Aviation,,N,100LLA,CHTR,109,30000	,08/26	,ASPH-G,5850,75 
02345.14*A,37CA,BILLY JOE,TEMECULA,CA,AWP,LAX,PR,33-30-25.1020N,117-04-17.1040W,PR,,NON-NPIAS,,N,,,0,0	,04/22	,DIRT-G,2200,40 
02393.11*A,2CA4,BLACKINTON,VALLEY CENTER,CA,AWP,LAX,PR,33-15-32.1260N,117-05-32.1120W,PR,,NON-NPIAS,,N,,,12,0	,17/35	,ASPH-G,2200,50 
01641.1*A,9CL5,BLAIR STRIP,HANFORD,CA,AWP,SFO,PR,36-16-30.8200N,119-38-26.4590W,PR,,NON-NPIAS,,N,,,3,0	,NW/SE	,TRTD,2150,45 
02389.12*A,CA57,BLAKE SKY PARK,VACAVILLE,CA,AWP,SFO,PR,38-27-29.6690N,122-02-43.8890W,PR,,NON-NPIAS,,N,,,0,0	,17/35	,TURF,1600,75 
02292.81*A,0CA9,BLECH RANCH,SHANDON,CA,AWP,SFO,PR,35-35-41.8890N,120-20-19.5550W,PR,,NON-NPIAS,,N,,,0,0	,16/34	,ASPH,3300,60 
01548.*A,BLU,BLUE CANYON - NYACK,EMIGRANT GAP,CA,AWP,SFO,PU,39-16-29.9000N,120-42-35.1000W,PU,,NON-NPIAS,,N,,,0,1200	,15/33	,ASPH-G,3300,50 
01336.*A,BLH,BLYTHE,BLYTHE,CA,AWP,LAX,PU,33-37-09.0000N,114-43-00.8000W,PU,,General Aviation,,N,100LLA,AMB  CARGO  INSTR  RNTL,7,25150	,08/26	,ASPH-G,6543,150 
01336.*A,BLH,BLYTHE,BLYTHE,CA,AWP,LAX,PU,33-37-09.0000N,114-43-00.8000W,PU,,General Aviation,,N,100LLA,AMB  CARGO  INSTR  RNTL,7,25150	,17/35	,ASPH-G,5800,100 
01335.2*H,80CL,BLYTHE SERVICE CENTER,BLYTHE,CA,AWP,LAX,PR,33-36-13.0880N,114-36-16.8440W,PR,,NON-NPIAS,,N,,,0,0	,H1	,GRAVEL,150,150 
01353.*A,BUR,BOB HOPE,BURBANK,CA,AWP,LAX,PU,34-12-02.5000N,118-21-31.2000W,PU,I C S 05/1973,Primary,Medium,Y,100LLA    MOGAS,AFRT  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,85,120125	,08/26	,ASPH-E,5802,150 
01353.*A,BUR,BOB HOPE,BURBANK,CA,AWP,LAX,PU,34-12-02.5000N,118-21-31.2000W,PU,I C S 05/1973,Primary,Medium,Y,100LLA    MOGAS,AFRT  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,85,120125	,15/33	,ASPH-E,6886,150 
