REGION,LAT_MIN,LAT_MAX,LON_MIN,LON_MAX
1,176,195,177,194
2,107,158,208,277
3,153,190,189,229
4,186,213,116,134
5,185,199,176,186
6,195,205,175,183
7,173,189,159,183
8,163,184,160,183
9,181,200,157,183
10,146,167,173,198
11,195,211,154,183
12,191,205,159,183
13,211,236,150,181
14,205,218,159,183
15,158,182,167,200
16,107,142,134,180
17,119,142,145,171
18,135,151,130,149
19,260,281,87,113
20,221,265,85,114
21,187,227,97,125
22,175,195,104,130
23,222,261,106,133
24,214,257,153,185
25,253,279,151,184
26,250,278,105,154
27,203,228,137,162
28,193,208,122,146
29,205,218,120,145
30,187,199,150,162
31,168,190,141,162
32,230,256,118,156
33,169,184,130,149
34,188,205,140,153
35,217,236,117,155
36,176,195,130,151
37,192,214,147,162
38,19,50,235,276
39,153,167,130,152
40,160,172,129,151
41,163,180,116,131
42,172,193,125,140
43,160,165,127,133
44,140,165,123,139
45,138,156,133,157
46,169,184,130,149
47,169,187,118,134
48,111,159,161,219
49,80,110,177,216
50,107,129,174,195
51,134,164,169,204
52,134,160,154,182
53,154,178,147,164
54,144,172,149,175
55,107,137,191,227
56,83,110,145,197
57,51,92,156,207
58,58,86,193,215
59,50,86,205,237
60,42,61,225,243
61,41,66,235,264
62,56,72,232,259
63,21,52,272,311
64,43,69,255,292
65,80,111,208,236
66,46,70,293,312
67,44,68,265,301
68,65,86,210,237
69,56,116,232,313
70,175,194,54,119
71,52,90,107,200
72,9,73,123,209
73,1,62,172,242
74,1,65,151,230
75,1,50,195,255
76,82,112,98,172
77,104,140,85,156
78,131,148,70,146
79,141,165,66,135
80,156,168,66,131
81,162,180,59,130
82,1,3,1,3
83,188,228,44,109
84,220,267,40,102
85,161,284,46,101
86,261,282,80,100
87,221,267,86,102
88,19,66,184,229
89,162,181,101,129
90,187,227,81,110
91,105,141,120,155
92,13,55,203,242
93,12,48,211,252
94,154,170,101,131
95,83,113,135,171
96,141,165,102,135
97,50,92,150,199
98,133,147,116,141
99,1,3,1,3
100,175,193,91,119
101,26,73,159,211
102,260,285,46,91
103,221,267,43,90
104,1,38,154,212
105,161,181,59,111
106,187,228,45,98
107,104,140,74,144
108,1,30,172,220
109,1,40,195,240
110,156,168,67,109
111,84,112,94,157
112,139,162,66,124
113,51,91,107,167
114,133,147,71,129
115,1,3,1,3
116,174,193,56,108
117,8,59,121,191
