REGION,STRING
1,GBV006002GBU
2,GBV006014GBU
3,GBV006026GBU
4,0LC006017LAK
5,0LT0060090ED
6,0LT006031PLA
7,0MC006003AMA
8,0MC006005CAL
9,0MC0060090ED
10,0MC006022MPA
11,0MC006029NSI
12,0MC006031PLA
13,0MC006032NSI
14,0MC006046NSI
15,0MC006055TUO
16,NCC006027MBU
17,NCC006035MBU
18,NCC006044MBU
19,0NC006008NCU
20,0NC006012NCU
21,0NC006023MEN
22,0NC0060490NS
23,0NC006053NCU
24,NEP006018LAS
25,NEP006025MOD
26,NEP006047SIS
27,0SV006004BUT
28,0SV006006COL
29,0SV006011GLE
30,0SV006031PLA
31,0SV006034SAC
32,0SV006045SHA
33,0SV0060480YS
34,0SV0060510FR
35,0SV006052TEH
36,0SV0060570YS
37,0SV0060580FR
38,0SD0060370SD
39,0SF0060010BA
40,0SF0060070BA
41,0SF0060210BA
42,0SF0060280BA
43,0SF0060380BA
44,0SF0060410BA
45,0SF0060430BA
46,0SF0060480BA
47,0SF0060490BA
48,SJV006010SJU
49,SJV006015SJU
50,SJV006016SJU
51,SJV006020SJU
52,SJV006024SJU
53,SJV006039SJU
54,SJV006050SJU
55,SJV006054SJU
56,SCC006040SLO
57,SCC0060420SB
58,SCC006056VEN
59,0SC0060190SC
60,0SC0060300SC
61,0SC0060330SC
62,0SC0060360SC
63,0SS006013IMP
64,0SS0060330SC
65,0MD006015KER
68,0MD0060190AV
67,0MD0060330SC
66,0MD006033MOJ
69,0MD006036MOJ
70,OCS006008NCU
71,OCS006012NCU
72,OCS0060190SC
73,OCS0060210BA
74,OCS006023MEN
75,OCS006027MBU
76,OCS0060300SC
77,OCS0060370SD
78,OCS0060380BA
79,OCS006040SLO
80,OCS0060410BA
81,OCS0060420SB
82,OCS006044MBU
83,OCS0060490BA
84,OCS0060490NS
85,OCS006056VEN
86,OC1006008NCU
87,OC1006012NCU
88,OC10060190SC
89,OC10060210BA
90,OC1006023MEN
91,OC1006027MBU
92,OC10060300SC
93,OC10060370SD
94,OC10060380BA
95,OC1006040SLO
96,OC10060410BA
97,OC10060420SB
98,OC1006044MBU
99,OC10060490BA
100,OC10060490NS
101,OC1006056VEN
102,OC2006008NCU
103,OC2006012NCU
104,OC20060190SC
105,OC20060210BA
106,OC2006023MEN
107,OC2006027MBU
108,OC20060300SC
109,OC20060370SD
110,OC20060380BA
111,OC2006040SLO
112,OC20060410BA
113,OC20060420SB
114,OC2006044MBU
115,OC20060490BA
116,OC20060490NS
117,OC2006056VEN
