airport,region,runway,flights_comjet,flights_other,land_lat,land_lon,takeoff_lat,takeoff_lon
0O2,69,15/33,0,500,35.2904806944,-116.082674556,35.28207975,-116.080034278
0O4,35,17/35,0,8718,39.9498124444,-122.171118278,39.9424035833,-122.171114778
0O9,19,06/24,0,1800,41.8449638889,-123.990211111,41.8462,-123.979361111
0Q3,47,07/25,0,8000,38.2233194444,-122.452530556,38.2233,-122.443130556
0Q3,47,17/35,0,8000,38.2271579444,-122.453061306,38.2230036944,-122.453130361
0Q4,48,10/28,0,12000,36.582465,-119.660266,36.579536,-119.65369
0Q5,20,12/30,0,3000,40.031705,-124.078270444,40.0246026667,-124.0703575
0Q9,47,08/26,0,15000,38.2579166667,-122.438361111,38.2569472222,-122.429811111
1C9,17,05/23,0,4680,36.9516715278,-121.466801861,36.9545434167,-121.459028306
1C9,17,05W/23W,0,4680,36.9508722222,-121.467080556,36.9543305556,-121.457761111
1O2,4,10/28,0,74000,38.9930095,-122.906249639,38.9882009444,-122.895185778
1O3,53,08/26,0,18400,38.2031311111,-121.276444167,38.2026988889,-121.2634475
1O3,53,12/30,0,18400,38.2036819444,-121.270405556,38.1996813889,-121.265270556
1O5,26,15/33,0,3800,41.7343361111,-122.546511111,41.7256305556,-122.54245
1O6,26,14/32,0,2200,41.2664583333,-122.274019444,41.2596305556,-122.270197222
1Q1,55,13/31,0,3850,36.1648,-119.052277778,36.1599916667,-119.049
1Q2,24,16/34,0,3000,40.6566127778,-120.768410833,40.6439980556,-120.768606944
1Q4,53,12/30,0,4000,37.6814555556,-121.305169444,37.6741055556,-121.297211111
1Q5,4,01/19,0,1000,39.4459472222,-122.958311111,39.4554694444,-122.9509
24CL,50,14/32,0,10,36.0973222222,-119.546027778,36.0800194444,-119.537227778
2CL1,37,06/24,0,1400,39.4545981944,-121.295674139,39.4558191944,-121.287589722
2O1,13,07/25,0,9100,39.9431496389,-120.952640667,39.9446871389,-120.938141667
2O3,42,16/34,0,10000,38.584425,-122.436038889,38.5756305556,-122.434925
2O6,51,12/30,0,6700,37.1164434722,-120.250942306,37.1101346389,-120.243043278
2O7,2,05/23,0,1500,36.8162833333,-118.2076,36.8178055556,-118.202844444
2O7,2,14/32,0,1500,36.8205611111,-118.207147222,36.8116138889,-118.202472222
36S,26,04/22,0,150,41.7883027778,-123.393477778,41.7927194444,-123.384188889
3O1,52,18/36,0,8000,37.264799,-120.962749722,37.2563292222,-120.965773333
3O8,48,14/32,0,10000,36.2516111111,-120.240483333,36.2445888889,-120.236438889
49X,69,16/34,0,4000,34.5357426111,-114.431956833,34.5220040833,-114.431980417
54CL,64,10/28,0,24,33.519875,-116.79069,33.523372,-116.801553
63CA,64,10/28,0,30,33.483317,-115.878294,33.478835,-115.86943
7CL4,3,05/23,0,10,38.3551277778,-119.520452778,38.3560138889,-119.517127778
86CL,64,02/20,0,30,33.601264,-116.880552,33.593982,-116.886129
8CA5,61,18/36,0,40,33.645579,-117.111353,33.645544,-117.11047
8CA8,53,17/35,0,10,38.0721444444,-121.207444444,38.0625694444,-121.207744444
9L2,65,06/24,0,10,34.9885305556,-117.872822222,34.9930388889,-117.853561111
A24,25,05/23,0,1500,41.41015,-120.691327778,41.4142333333,-120.676811111
A26,25,09/27,0,100,41.1878861111,-120.959233333,41.1851138889,-120.94955
A28,25,16/34,0,10,41.8815093056,-120.146498556,41.8714656111,-120.146806167
A30,26,16/34,0,8104,41.56285,-122.855377778,41.5527138889,-122.854538889
A32,26,16/34,0,2050,41.8931365833,-121.975606833,41.8813397778,-121.975583222
AAT,25,03/21,0,9875,41.480273,-120.569061611,41.4861506667,-120.560903917
AAT,25,13/31,0,9875,41.4878107778,-120.569809861,41.4777675556,-120.561575917
ACV,20,01/19,2920,5292,40.9723591111,-124.112994417,40.9830840833,-124.104908667
ACV,20,14/32,2920,5292,40.9852786667,-124.113123389,40.9705282222,-124.103095944
AHC,24,08/26,0,10,40.2680626111,-120.168310556,40.2637736111,-120.132916111
AJO,61,07/25,0,50000,33.8975971111,-117.6077135,33.8977318611,-117.597171278
APC,42,06/24,0,17917,38.2077085,-122.288485111,38.2108613333,-122.27152275
APC,42,18L/36R,0,17917,38.218523,-122.278302667,38.2120765833,-122.281396556
APC,42,18R/36L,0,17917,38.2232049167,-122.277962611,38.2079761944,-122.2852715
APV,69,08/26,0,18750,34.5695584722,-117.194027556,34.5695598333,-117.18041325
APV,69,18/36,0,18750,34.5875468889,-117.182545556,34.5703953889,-117.188522667
AUN,30,07/25,0,68770,38.9542967778,-121.088198556,38.9553415556,-121.07525775
AVX,59,04/22,0,16423,33.4026222222,-118.419786111,33.4073722222,-118.411752778
BAB,37,15/33,0,10,39.1517106667,-121.44334925,39.1204914722,-121.429820833
BFL,49,12L/30R,850,25393,35.4463386667,-119.071270861,35.4251360278,-119.045649889
BFL,49,12R/30L,850,25393,35.4387424722,-119.065628306,35.4236955,-119.0474505
BIH,2,07/25,0,7667,37.3736496944,-118.374135333,37.3735174722,-118.354981778
BIH,2,12/30,0,7667,37.3801414722,-118.373337611,37.3654582778,-118.355253917
BIH,2,16/34,0,7667,37.380734,-118.361638917,37.3653586111,-118.361804194
BLH,66,08/26,0,12500,33.6166023056,-114.727729417,33.6165370278,-114.70624
BLH,66,17/35,0,12500,33.6300349444,-114.71674175,33.6140975278,-114.716817417
BLU,12,15/33,0,1100,39.2793821389,-120.711006972,39.27053375,-120.708514694
BNG,61,08/26,0,4598,33.9226071667,-116.859142944,33.9224987778,-116.842808861
BUR,59,08/26,21660,43492,34.1979109722,-118.369142833,34.1976502778,-118.349959778
BUR,59,15/33,21660,43492,34.2123446389,-118.36046125,34.1939051944,-118.355370361
