0,CO,CO
0,NH3,NH3
0,SOX,SOX
0,DEFNOX,NOX
0,900,PM
0,600,TOG
27501001,4002,PM
27501001,413,TOG
27501014,1412,PM
27501014,5861,TOG
27501015,1412,PM
27501015,5861,TOG
27502001,4002,PM
27502001,413,TOG
27502011,1412,PM
27502011,5861,TOG
27505001,4002,PM
27505001,413,TOG
27505011,1412,PM
27505011,5861,TOG
27601001,4002,PM
27601001,413,TOG
27601014,1412,PM
27601014,5861,TOG
27601015,1412,PM
27601015,5861,TOG
27602001,4002,PM
27602001,413,TOG
27602011,1412,PM
27602011,5861,TOG
27605001,4002,PM
27605001,413,TOG
27605011,1412,PM
27605011,5861,TOG
2275001000,1412,PM
2275001000,5861,TOG
81080011400000,4002,PM
81080011400000,413,TOG
81080211400000,4002,PM
81080211400000,413,TOG
81080211400044,4002,PM
81080211400044,413,TOG
81080211400045,4002,PM
81080211400045,413,TOG
81080211400046,4002,PM
81080211400046,413,TOG
81080411400000,4002,PM
81080411400000,413,TOG
81080411400044,4002,PM
81080411400044,413,TOG
81080411400045,4002,PM
81080411400045,413,TOG
81080411400046,4002,PM
81080411400046,413,TOG
81080611400000,4002,PM
81080611400000,413,TOG
81080814000000,1412,PM
81080814000000,5861,TOG
81080814200000,1412,PM
81080814200000,5861,TOG
81080814300000,1412,PM
81080814300000,5861,TOG
81081014000000,1412,PM
81081014000000,5861,TOG
81081014000044,1412,PM
81081014000044,5861,TOG
81081014000045,1412,PM
81081014000045,5861,TOG
81081014000046,1412,PM
81081014000046,5861,TOG
81081014500000,1412,P
81081014500000,5861,TOG
81081014500044,1412,PM
81081014500044,5861,TOG
81081014500045,1412,PM
81081014500045,5861,TOG
81081014500046,1412,PM
81081014500046,5861,TOG
81081214000000,1412,PM
81081214000000,5861,TOG
81081214000044,1412,PM
81081214000044,5861,TOG
81081214000045,1412,PM
81081214000045,5861,TOG
81081214000046,1412,PM
81081214000046,5861,TOG
81081214500000,1412,PM
81081214500000,5861,TOG
81081214500044,1412,PM
81081214500044,5861,TOG
81081214500045,1412,PM
81081214500045,5861,TOG
81081214500046,1412,PM
81081214500046,5861,TOG
