airport,eic,type,fractions|
default,default,diurnal_weekday,0.0136927149862|0.00389818343242|0.000893977616579|0.000276724571569|0.00170770329993|0.0176937438015|0.0435290823788|0.0484884349554|0.0608484979061|0.0644817053608|0.063094467551|0.0603301137969|0.0603901219992|0.0557707556533|0.0510442059821|0.0527549819912|0.0531556994146|0.0510185398233|0.053881401018|0.0549138312942|0.054912566061|0.0553577473933|0.0470569139842|0.0308078857285
default,default,diurnal_weekend,0.0138668916828|0.00403380128007|0.00094915965018|0.000281948764718|0.00189730143478|0.0157499429995|0.0404260581731|0.0458421209061|0.060257133202|0.066230986271|0.0656345170431|0.0637535014576|0.0628669405404|0.0574498599417|0.0518775548426|0.0535076665635|0.0539534916861|0.0514551406283|0.0539387326352|0.0545657378304|0.0533325936843|0.0533957013501|0.0449972924776|0.0297359249548
default,default,monthly,0.9255190384|0.928827337|0.9738547891|0.9925616735|0.9993187334|1.050014708|1.056419652|1.067569461|1.006263012|1.01533057|0.9962684257|0.9880526004
default,default,weekly,1.04498915835|1.01401632257|1.02170491311|1.03780567132|1.04696289003|0.845757097091|0.988763947533
SMX,default,diurnal_weekday,0.0274151436031|0.00913838120104|0.000435161009574|0.0|0.0|0.158833768494|0.0178416013925|0.00696257615318|0.032637075718|0.0430809399478|0.0156657963446|0.0261096605744|0.0156657963446|0.201479547433|0.14273281114|0.0448215839861|0.062228024369|0.0278503046127|0.0082680591819|0.0113141862489|0.00565709312446|0.0152306353351|0.00217580504787|0.124456048738
SMX,default,diurnal_weekend,0.0323275862069|0.00323275862069|0.0010775862069|0.0|0.0|0.148706896552|0.0237068965517|0.00215517241379|0.042025862069|0.0344827586207|0.00538793103448|0.0183189655172|0.0129310344828|0.216594827586|0.135775862069|0.0528017241379|0.0592672413793|0.0355603448276|0.0140086206897|0.010775862069|0.00646551724138|0.0118534482759|0.00538793103448|0.127155172414
SMX,default,monthly,1.058316089|1.079151121|1.076562919|1.08605127|1.113056577|1.116219361|1.12765404|1.116705943|1.116219361|0.7627174576|0.7014081117|0.6459377511
SMX,default,weekly,1.01332920025|0.787662740236|1.2216367018|0.759454432734|1.20427774334|0.787662740236|1.22597644141
OAK,default,diurnal_weekday,0.01294224046|0.00215973975136|0.000739710864841|0.000172779180109|9.98879635004e-05|0.0303389441572|0.0450683692615|0.0486643359475|0.0647948922155|0.0633316685339|0.0597222034745|0.0540150911815|0.0593685460902|0.0536506350985|0.0474494823374|0.0462319290525|0.0468960490261|0.0501410580025|0.063139991631|0.0614904903959|0.0602243429667|0.0543768475899|0.0430652106421|0.0319155541757
OAK,default,diurnal_weekend,0.0135566952659|0.00251641662273|0.000782885171516|0.000207704229178|0.000127817987186|0.0205467414402|0.0385850548818|0.0439454217195|0.0604019875697|0.0659940245091|0.0665692054514|0.0635335282558|0.0629583473134|0.0531243509243|0.0450638291074|0.0459345891451|0.0517742734346|0.0576539008452|0.0651552189682|0.0615203949576|0.05800540031|0.0509514451421|0.041237278116|0.0298534886322
OAK,default,monthly,0.9210187348|0.894416366|0.9347901329|0.9808438445|1.004955287|1.062662757|1.063418321|1.065368674|1.023977576|1.034258158|1.013187999|1.00110215
OAK,default,weekly,1.05639910168|1.03152586901|1.03802313592|1.04683681973|1.05913925338|0.800307913954|0.967767906326
ACV,default,diurnal_weekday,0.0283028106943|0.00548428165704|0.00137107041426|0.000489668005093|0.0|0.0985212026246|0.0452453236706|0.0111644305161|0.0108706297131|0.0327098227402|0.134266966996|0.0773675448046|0.0539614141612|0.0410341788268|0.0419155812359|0.0335912251493|0.0206639898149|0.0752130055822|0.0490647341103|0.0516110077368|0.0616002350406|0.036920967584|0.00940162569778|0.079228283224
ACV,default,diurnal_weekend,0.0220676421204|0.00335811945311|0.00119932837611|0.000479731350444|0.0|0.098344926841|0.0472535380187|0.0110338210602|0.0115135524107|0.0374190453346|0.146318061885|0.0710002398657|0.0494123290957|0.0340609258815|0.044375149916|0.0364595826337|0.02158791077|0.0772367474214|0.0414967618134|0.0544495082754|0.063804269609|0.032381866155|0.0100743583593|0.0846725833533
ACV,default,monthly,0.8719690663|0.9044941216|0.787558527|0.8705485653|0.8588567495|1.060240082|1.063736699|1.137493481|1.064474267|1.124381164|1.146617468|1.109629808
ACV,default,weekly,0.994019471488|1.00716272601|0.989151599444|0.986717663421|0.993532684284|1.00813630042|1.02127955494
SMF,default,diurnal_weekday,0.0147437621395|0.00289556252801|0.000621544897654|0.0001792917974|0.000265949499477|0.0348363962349|0.0529717615419|0.0367099955177|0.0525145674585|0.0631794412072|0.0582638577618|0.0571193784551|0.062689376961|0.0579560735096|0.0511549379949|0.0511579261915|0.0529478559689|0.0498222023009|0.0554639175258|0.0576393246676|0.0549200657403|0.049353055431|0.0472643059913|0.0353294486777
SMF,default,diurnal_weekend,0.0153198518637|0.00308173251983|0.00074601017771|0.000150978250251|0.000239788985693|0.0267586745886|0.0487837369781|0.0370607198998|0.0533397277063|0.0663505004485|0.060027176085|0.0611461913516|0.0658709224771|0.0598406735406|0.0515990372916|0.0497784172151|0.054281121502|0.0501070169362|0.0570253732271|0.0586594907592|0.0545475537083|0.0490856934786|0.0438458600876|0.0323537509214
SMF,default,monthly,0.8994434767|0.9012891532|0.9367336179|0.9742758738|1.00772983|1.04597748|1.044861851|1.061490882|1.041947158|1.053980147|1.030918237|1.001352294
SMF,default,weekly,1.05580113091|1.033795492|1.04277930191|1.05074578143|1.05456468321|0.79674185968|0.965571750859
CEC,default,diurnal_weekday,0.0|0.0|0.0|0.0|0.0|0.10843373494|0.078313253012|0.0180722891566|0.0240963855422|0.00602409638554|0.0|0.0180722891566|0.168674698795|0.192771084337|0.0843373493976|0.0421686746988|0.00602409638554|0.0|0.0120481927711|0.0301204819277|0.16265060241|0.0481927710843|0.0|0.0
CEC,default,diurnal_weekend,0.0|0.0|0.0|0.0|0.0|0.121212121212|0.106060606061|0.0151515151515|0.0|0.0|0.0|0.0151515151515|0.151515151515|0.227272727273|0.106060606061|0.0|0.0151515151515|0.0|0.0|0.0|0.151515151515|0.0606060606061|0.030303030303|0.0
CEC,default,monthly,0|5.487510991|5.337835667|1.174653343|0|0|0|0|0|0|0|0
CEC,default,weekly,1.02586206897|1.05603448276|1.08620689655|0.965517241379|0.875|0.965517241379|1.02586206897
